id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"SLA xử lý ticket P1 đã thay đổi từ phiên bản trước như sau:

- Trong phiên bản v2026.1 (2026-01-15), SLA P1 resolution đã được cập nhật từ 6 giờ xuống 4 giờ [1]. 

Ngoài ra, phiên bản v2025.3 (2025-09-01) đã thêm quy trình escalation tự động [1].","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,All claims in the answer are directly supported by the context provided.,5,"Directly answers the question by providing specific changes in SLA for ticket P1 between versions, including time reduction and the addition of an escalation process.",5,Retrieved: 1/1 expected sources,3,"Missing: no mention of the previous version's SLA not changing, specific date of the previous version",variant_dense_v2
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",4,"The answer is mostly grounded in the context, stating that VPN is required for remote work and mentioning a limit of 2 devices, but the specific detail about the number of devices is not explicitly confirmed in the provided context.",5,Directly answers the question with the specific detail about the maximum number of devices that can be connected.,5,Retrieved: 2/2 expected sources,3,"Missing: VPN is mandatory according to HR Leave Policy, specific VPN software is Cisco AnyConnect, source of information (IT Helpdesk FAQ)",variant_dense_v2
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền. Điều này nằm trong ngoại lệ không được hoàn tiền, bao gồm các đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt hoặc đăng ký tài khoản [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"All claims in the answer are directly supported by the context, specifically regarding the refund policy for Flash Sale orders and activated products.",5,Directly answers the question with all relevant details regarding the refund policy for Flash Sale orders.,5,Retrieved: 1/1 expected sources,5,Complete,variant_dense_v2
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"All claims in the answer are directly supported by the context, specifically regarding the store credit value being 110% of the original amount.",5,Directly answers the question with the specific percentage of store credit compared to the original amount.,5,Retrieved: 1/1 expected sources,5,Complete,variant_dense_v2
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access. Quy trình yêu cầu cấp quyền Admin Access bao gồm các bước sau:

1. Nhân viên (bao gồm cả contractor) tạo Access Request ticket trên Jira (project IT-ACCESS).
2. Yêu cầu phải được phê duyệt bởi IT Manager và CISO.
3. Thời gian xử lý là 5 ngày làm việc.
4. Yêu cầu thêm: Training bắt buộc về security policy [2].

Thông tin này không có trong tài liệu hiện có.","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",5,Abstain correctly - no hallucination,5,"Directly answers the question with all necessary details regarding the process, timeline, and additional requirements.",5,Retrieved: 1/1 expected sources,5,Complete,variant_dense_v2
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer xử lý sự cố P1 như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].

Quyền này tồn tại tối đa 24 giờ.","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"All claims in the answer are directly supported by the context provided, specifically regarding the temporary permission process for handling P1 incidents.",5,Directly answers the question with all necessary details regarding the process and duration of temporary access.,5,Retrieved: 2/2 expected sources,4,"Missing: contact information for on-call, SLA P1 mention",variant_dense_v2
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Thông tin này không có trong tài liệu hiện có.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,Abstain correctly - no hallucination,2,"The answer states that the information is not available, which is partially off-topic and does not provide any relevant details about the penalty for violating the SLA.",,No expected sources,2,"Missing: no penalty specified, no details on SLA P1 processing, lack of information on SLA target",variant_dense_v2
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Đối với nghỉ ốm, nhân viên cần thông báo cho Line Manager trước 9:00 sáng ngày nghỉ, và nếu nghỉ trên 3 ngày liên tiếp thì cần có giấy tờ y tế từ bệnh viện [1]. 

Vì vậy, số ngày báo trước để xin nghỉ phép năm không giống với số ngày cần giấy tờ khi nghỉ ốm.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,4,"The answer accurately reflects the requirement to notify at least 3 working days in advance for annual leave, which is grounded in the context. However, the details about sick leave and the requirement for medical documentation are not explicitly mentioned in the provided context, indicating a minor uncertainty.",5,Directly answers the question with all necessary details regarding the notice period for annual leave and sick leave.,5,Retrieved: 1/1 expected sources,4,"Missing: specific mention of HR Portal for annual leave, clarification that both situations involve the same 3-day threshold",variant_dense_v2
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Mật khẩu tài khoản công ty cần thay đổi định kỳ. Cụ thể, mật khẩu phải được thay đổi mỗi 90 ngày và hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",2,"The answer about password change frequency is not found in the provided context, indicating that it may be based on external knowledge rather than the retrieved information.",5,Directly answers the question with all details regarding the frequency of password changes and the reminder period.,5,Retrieved: 1/1 expected sources,3,"Missing: link to reset password, contact information for Helpdesk",variant_dense_v2
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"All claims in the answer are directly supported by the context, specifically regarding the applicability of the refund policy based on the order date.",5,Directly answers the question and provides additional context about the applicable refund policy.,5,Retrieved: 1/1 expected sources,5,Complete,variant_dense_v2
